Country,Country Code,Indicator,Indicator Code,Year,Value
Afghanistan,AFG,"Population, total",SP.POP.TOTL,2000,20130327
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,174.9309914
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,2000,3521418060
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2000,55.005
Afghanistan,AFG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,
Afghanistan,AFG,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,2000,
Afghanistan,AFG,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,2000,
Africa Eastern and Southern,AFE,"Population, total",SP.POP.TOTL,2000,406156661
Africa Eastern and Southern,AFE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,3.180947357
Africa Eastern and Southern,AFE,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,706.7284408
Africa Eastern and Southern,AFE,GDP (current US$),NY.GDP.MKTP.CD,2000,2.87042E+11
Africa Eastern and Southern,AFE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2000,52.55734186
Africa Eastern and Southern,AFE,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,8.601485149
Africa Eastern and Southern,AFE,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,2000,0.205236449
Africa Eastern and Southern,AFE,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,2000,9.446021708
Africa Western and Central,AFW,"Population, total",SP.POP.TOTL,2000,274612131
Africa Western and Central,AFW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,3.811942901
Africa Western and Central,AFW,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,519.6425995
Africa Western and Central,AFW,GDP (current US$),NY.GDP.MKTP.CD,2000,1.427E+11
Africa Western and Central,AFW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2000,50.29260517
Africa Western and Central,AFW,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,2.530775167
Africa Western and Central,AFW,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,2000,
Africa Western and Central,AFW,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,2000,
Albania,ALB,"Population, total",SP.POP.TOTL,2000,3089027
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,7.462858718
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,1160.420471
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,2000,3584570165
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2000,74.826
Albania,ALB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,0.050018136
Albania,ALB,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,2000,38.88129848
Albania,ALB,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,2000,49.54040172
Algeria,DZA,"Population, total",SP.POP.TOTL,2000,30903893
Algeria,DZA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,3.800000002
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,1772.928691
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,2000,54790398570
Algeria,DZA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2000,70.576
Algeria,DZA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,0.339163189
Algeria,DZA,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,2000,-5.341663556
Algeria,DZA,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,2000,9.200390445
American Samoa,ASM,"Population, total",SP.POP.TOTL,2000,56855
